,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,homepage,chain,contract_address,coingecko_watchers,price_change_percentage_7d,price_change_percentage_14d,price_change_percentage_30d,price_change_percentage_60d,telegram_users,platform,platform_icon_url
0,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.081421,11623671759.0,10.0,11623620466.0,700470503.0,0.084404,0.080119,-0.001410576942149147,-1.70295,-199234280.9282589,-1.68515,142765536383.705,142764906383.705,,0.731578,-88.87492,2021-05-08T05:08:23.458Z,8.69e-05,93553.743,2015-05-06T00:00:00.000Z,,2024-01-23T03:02:10.370Z,http://dogecoin.com/,,,535034,0.70901,1.91882,-13.44085,5.54559,,DOGE,https://icons.llamao.fi/icons/chains/rsz_doge?w=48&h=48
1,shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1696511800,9.03e-06,5309211983.0,18.0,9009478807.0,147998699.0,9.3e-06,8.89e-06,-1.7435915786e-07,-1.89445,-102574594.71974182,-1.89539,589281420287023.1,999982386165243.0,,8.616e-05,-89.54787,2021-10-28T03:54:55.568Z,5.6366e-11,15976494.31593,2020-11-28T11:26:25.838Z,,2024-01-23T03:02:05.405Z,https://shibatoken.com/,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,625758,-5.64257,-4.08237,-17.6998,10.45245,143190.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
2,bonk,bonk,Bonk,https://assets.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,1.068e-05,649176980.0,102.0,999725007.0,71296274.0,1.131e-05,1.031e-05,-3.88821803654e-07,-3.51389,-23474451.290381193,-3.48984,60837624528359.55,93689234980611.55,100000000000000.0,3.416e-05,-68.88266,2023-12-15T07:35:13.369Z,8.6142e-08,12240.83178,2022-12-29T22:48:46.755Z,,2024-01-23T03:02:06.968Z,https://www.bonkcoin.com/,solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,74018,-21.79647,-10.90454,-44.57194,150.96047,,solana,https://icons.llamao.fi/icons/chains/rsz_solana?w=48&h=48
3,corgiai,corgiai,CorgiAI,https://assets.coingecko.com/coins/images/30933/large/Token.png?1696529775,0.00166843,462578662.0,126.0,621358104.0,492655.0,0.00172141,0.00163657,-4.0944561958106e-05,-2.39529,-11317702.666923106,-2.38822,277312793452.471,372500000000.0,500000000000.0,0.00331027,-50.3209,2023-12-24T10:25:03.658Z,4.414e-05,3625.53544,2023-09-06T20:16:08.253Z,,2024-01-23T03:02:04.835Z,https://corgiai.xyz/,cronos,0x6b431b8a964bfcf28191b07c91189ff4403957d0,5366,-4.86273,-24.76684,-30.05272,53.9754,,cronos,https://icons.llamao.fi/icons/chains/rsz_cronos?w=48&h=48
4,pepe,pepe,Pepe,https://assets.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,1.07e-06,446513651.0,132.0,446513651.0,55444571.0,1.12e-06,1.04e-06,-3.6354733081e-08,-3.29992,-15838936.407054305,-3.42573,420690000000000.0,420690000000000.0,420690000000000.0,4.31e-06,-75.38544,2023-05-05T16:50:45.302Z,5.5142e-08,1822.60681,2023-04-18T02:14:41.591Z,,2024-01-23T03:02:10.460Z,https://www.pepe.vip/,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,95325,-12.07549,-10.25808,-27.96733,-1.42439,94142.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
5,floki,floki,FLOKI,https://assets.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,2.941e-05,291939151.0,176.0,294003697.0,15505048.0,3.08e-05,2.872e-05,-1.357478992054e-06,-4.4119,-13605380.757437885,-4.45283,9929778222987.0,10000000000000.0,10000000000000.0,0.00033651,-91.30549,2021-11-04T06:58:35.285Z,8.428e-08,34614.82461,2021-07-06T01:11:20.438Z,,2024-01-23T03:02:10.112Z,https://www.floki.com/,ethereum,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,115543,-4.89526,-2.22651,-20.02522,-9.08541,63176.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
6,dogwifcoin,wif,dogwifhat,https://assets.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,0.240854,240553371.0,201.0,240553371.0,55271614.0,0.287899,0.230675,-0.04527716600398429,-15.82393,-44793539.46685836,-15.69792,998926392.0,998926392.0,998926392.0,0.462499,-47.73974,2024-01-18T07:09:48.928Z,0.00155464,15447.24516,2023-12-13T07:13:50.873Z,,2024-01-23T03:01:46.368Z,https://dogwifcoin.org,solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,14399,-19.73251,87.30244,12.2711,,8606.0,solana,https://icons.llamao.fi/icons/chains/rsz_solana?w=48&h=48
7,memecoin-2,meme,Memecoin,https://assets.coingecko.com/coins/images/32528/large/memecoin_%282%29.png?1698912168,0.02341736,216155168.0,218.0,1613466501.0,42492491.0,0.02406746,0.02295881,-0.000346944549050657,-1.45994,-2499404.304252565,-1.14308,9243889860.36631,69000000000.0,69000000000.0,0.04650388,-49.61041,2023-12-06T01:01:43.438Z,0.01724609,35.87497,2023-11-07T18:04:56.706Z,,2024-01-23T03:01:54.767Z,https://www.memecoin.org/,ethereum,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,140115,-13.76249,2.35197,-25.45192,-13.51775,,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
8,myro,$myro,Myro,https://assets.coingecko.com/coins/images/32878/large/MYRO_200x200.png?1699709942,0.19061,192190128.0,235.0,192190128.0,33386612.0,0.245058,0.173278,-0.033843837391500486,-15.07827,-30483823.07604164,-13.68989,999981490.49,999981490.49,1000000000.0,0.258173,-26.32597,2024-01-19T12:30:11.669Z,0.00199487,9434.74094,2023-11-12T18:30:55.091Z,,2024-01-23T03:02:02.016Z,http://myrothedog.com,solana,HhJpBhRRn4g56VsyLuT8DL5Bv31HkXqsrahTTUCZeZg4,15374,39.49949,151.45846,1014.8947,592.09605,11463.0,solana,https://icons.llamao.fi/icons/chains/rsz_solana?w=48&h=48
9,baby-doge-coin,babydoge,Baby Doge Coin,https://assets.coingecko.com/coins/images/16125/large/babydoge.jpg?1696515731,1.124e-09,164471245.0,254.0,472066252.0,1457065.0,1.174e-09,1.106e-09,-5.0175164e-11,-4.27244,-7772862.977904111,-4.5127,1.4633099163913923e+17,4.2e+17,4.2e+17,6.345e-09,-82.35031,2022-01-16T20:24:43.758Z,9.4771e-11,1081.61488,2021-06-09T02:48:21.787Z,,2024-01-23T03:02:03.530Z,https://babydoge.com,binance-smart-chain,0xc748673057861a797275cd8a068abb95a902e8de,169558,-9.43398,-10.08967,-25.09718,-5.05811,131667.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
10,dogelon-mars,elon,Dogelon Mars,https://assets.coingecko.com/coins/images/14962/large/6GxcPRo3_400x400.jpg?1696514622,1.5093e-07,82918241.0,409.0,150856445.0,12609257.0,1.57891e-07,1.49322e-07,-6.436493554e-09,-4.09014,-3900282.2397368997,-4.49245,549649971723242.3,1000000000000000.0,1000000000000000.0,2.59e-06,-94.18219,2021-10-30T20:39:32.727Z,1.7563e-08,759.15714,2021-04-23T06:09:26.872Z,,2024-01-23T03:02:07.101Z,https://dogelonmars.com/,ethereum,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,213509,-10.8841,-12.50904,-22.71112,-8.75461,41906.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
11,coq-inu,coq,Coq Inu,https://assets.coingecko.com/coins/images/33511/large/Coin_CoqInu_1200px.png?1702041053,9.77695e-07,67871630.0,476.0,67871630.0,6580030.0,1.06e-06,8.92844e-07,-7.4865953805e-08,-7.11275,-5272291.178785473,-7.20811,69420000000000.0,69420000000000.0,69420000000000.0,3.98e-06,-75.50832,2023-12-19T23:49:50.797Z,8.3331e-08,1069.55038,2023-12-08T21:44:39.553Z,,2024-01-23T03:01:28.169Z,https://www.coqinu.com/,avalanche,0x420fca0121dc28039145009570975747295f2329,24249,-30.71096,-21.77814,-64.84248,,,avalanche,https://icons.llamao.fi/icons/chains/rsz_avalanche?w=48&h=48
12,snek,snek,Snek,https://assets.coingecko.com/coins/images/30496/large/snek_icon_200.png?1703346174,0.00089712,65566881.0,490.0,67715711.0,2271069.0,0.00092922,0.00083389,-2.5128229047912e-05,-2.72466,-1745856.3402164206,-2.59365,73245019642.0,75645486662.0,76715880000.0,0.00231493,-61.31093,2023-12-16T16:38:46.273Z,0.00013847,546.80878,2023-10-20T02:25:36.411Z,,2024-01-23T03:02:01.936Z,https://www.snek.com/,cardano,279c909f348e533da5808898f87f9a14bb2c3dfbbacccd631d927a3f,8043,-23.35053,-25.99102,-53.45965,203.80951,4147.0,cardano,https://icons.llamao.fi/icons/chains/rsz_cardano?w=48&h=48
13,silly-dragon,silly,Silly Dragon,https://assets.coingecko.com/coins/images/33698/large/image.png?1702821846,0.06376,63533200.0,495.0,63533200.0,9724440.0,0.068551,0.059702,-0.002824634752672903,-4.2422,-3589951.155672215,-5.34831,999934092.217753,999934092.217753,1000000000.0,0.159107,-60.05202,2023-12-27T06:19:41.132Z,0.00651349,875.82156,2023-12-18T03:04:15.342Z,,2024-01-23T03:01:30.931Z,https://sillydragon.io/,solana,7EYnhQoR9YM3N7UoaKRoA44Uy8JeaZV3qyouov87awMs,4786,1.50619,-12.03871,-13.26303,,6940.0,solana,https://icons.llamao.fi/icons/chains/rsz_solana?w=48&h=48
14,toshi,toshi,Toshi,https://assets.coingecko.com/coins/images/31126/large/2023-08-11_13.21.24.png?1697025145,0.00014021,58667124.0,517.0,58667124.0,715789.0,0.00014016,0.00012744,2.37e-06,1.72268,724294.0,1.25001,420690000000.0,420690000000.0,420690000000.0,0.00023478,-40.82364,2023-12-15T16:05:15.310Z,1.8963e-08,732530.19857,2023-10-09T16:05:26.462Z,,2024-01-23T03:02:00.153Z,https://www.toshithecat.com/,base,0xac1bd2486aaf3b5c0fc3fd868558b082a531b2b4,51691,12.46004,39.78516,-9.13685,528.53277,4445.0,base,https://icons.llamao.fi/icons/chains/rsz_base?w=48&h=48
15,harrypotterobamasonic10in,bitcoin,HarryPotterObamaSonic10Inu (ETH),https://assets.coingecko.com/coins/images/30323/large/hpos10i_logo_casino_night-dexview.png?1696529224,0.056284,56280771.0,528.0,56280771.0,1071492.0,0.059963,0.05412,-0.002324803901228433,-3.96661,-1723764.9092971385,-2.97178,999798155.0,999798155.0,1000000000.0,0.196317,-71.1775,2023-08-20T18:54:54.704Z,0.00066337,8429.75791,2023-05-31T23:11:46.784Z,,2024-01-23T03:01:54.657Z,https://hpos10i.com,ethereum,0x72e4f9f808c49a2a61de9c5896298920dc4eeea9,7570,-15.3447,-35.18754,-36.90291,-48.68314,8121.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
16,milady-meme-coin,ladys,Milady Meme Coin,https://assets.coingecko.com/coins/images/30194/large/logo.png?1696529109,5.2723e-08,46748850.0,580.0,46748850.0,2302681.0,5.6545e-08,5.1301e-08,-3.113043687e-09,-5.5753,-2661141.623265989,-5.38584,888000888000888.0,888000888000888.0,888000888000888.0,1.72607e-07,-69.82333,2023-05-11T08:55:43.001Z,7.31393e-10,7021.63698,2023-05-10T03:39:39.243Z,,2024-01-23T03:01:57.952Z,https://milady.gg,ethereum,0x12970e6868f88f6557b76120662c1b3e50a646bf,14985,-18.29835,-9.25613,-47.52118,67.36047,43750.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
17,samoyedcoin,samo,Samoyedcoin,https://assets.coingecko.com/coins/images/15051/large/IXeEj5e.png?1696514710,0.01051981,43809736.0,600.0,50022218.0,1414820.0,0.01156609,0.01038104,-0.001046281646312474,-9.04611,-4217001.9889166355,-8.78053,4157373282.0,4746913623.21,4746913623.21,0.236987,-95.56637,2021-10-28T17:58:36.106Z,0.00066955,1469.27208,2021-04-29T13:34:43.813Z,,2024-01-23T03:02:08.137Z,https://samoyedcoin.com/,solana,7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,27761,-15.90302,-16.33282,-42.38389,46.39369,5048.0,solana,https://icons.llamao.fi/icons/chains/rsz_solana?w=48&h=48
18,jesus-coin,jesus,Jesus Coin,https://assets.coingecko.com/coins/images/30036/large/JESUS_COIN_LOGO.png?1696528959,2.08388e-07,32619849.0,709.0,162079850.0,621122.0,2.28051e-07,1.80537e-07,-1.8288170828e-08,-8.06796,-3123788.3595345095,-8.73942,156533918921920.56,777777777777777.0,777777777777777.0,5.59011e-07,-63.69515,2023-12-02T06:10:52.319Z,6.18313e-10,32722.86304,2023-04-28T13:40:59.085Z,,2024-01-23T03:01:53.409Z,https://www.jesuscoin.xyz/,ethereum,0xba386a4ca26b85fd057ab1ef86e3dc7bdeb5ce70,4136,-13.63373,-17.32159,-57.62316,65.80916,6866.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
19,leash,leash,Doge Killer,https://assets.coingecko.com/coins/images/15802/large/Leash.png?1696515425,265.22,28518669.0,756.0,28525739.0,1517532.0,272.73,262.22,-7.50941917479463,-2.75338,-783612.1177248433,-2.67424,107526.34318670128,107553.0,107647.0,4528.43,-94.13796,2021-06-28T21:16:01.787Z,247.07,7.44307,2023-06-15T08:00:07.134Z,,2024-01-23T03:02:06.826Z,https://www.shibatoken.com/,ethereum,0x27c70cd1946795b66be9d954418546998b546634,16032,-6.22706,-9.69963,-18.8046,-12.32295,89838.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
20,arbdoge-ai,aidoge,ArbDoge AI,https://assets.coingecko.com/coins/images/29852/large/photo_2023-04-18_14-25-28.jpg?1696528778,1.45537e-10,26820479.0,777.0,26820479.0,4409278.0,1.53241e-10,1.42193e-10,-6.968211e-12,-4.56917,-1381835.2176564261,-4.89972,1.84729381711852e+17,1.84729384208503e+17,2.1e+17,1.118e-09,-86.95836,2023-05-01T01:35:38.530Z,4.7681e-11,205.90157,2023-09-14T02:40:44.398Z,,2024-01-23T03:02:11.242Z,https://arbdoge.ai/,arbitrum-one,0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,19724,-14.38055,-11.49732,-44.64718,19.41531,,arbitrum,https://icons.llamao.fi/icons/chains/rsz_arbitrum?w=48&h=48
