,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,homepage,chain,contract_address,coingecko_watchers,price_change_percentage_7d,price_change_percentage_14d,price_change_percentage_30d,price_change_percentage_60d,telegram_users,platform,platform_icon_url
21,kishu-inu,kishu,Kishu Inu,https://assets.coingecko.com/coins/images/14890/large/uVLzCoP.png?1696514553,2.66357e-10,25792644.0,793.0,,738025.0,2.77398e-10,2.60367e-10,-1.0874466e-11,-3.92252,-756494.9661316834,-2.84941,9.683492960228464e+16,,,1.7547e-08,-98.4834,2021-05-15T02:19:47.919Z,6.8855e-11,286.47881,2021-04-23T23:08:02.648Z,,2024-01-23T03:01:49.798Z,https://kishu.com/,ethereum,0xa2b4c0af19cc16a6cfacce81f192b024d625817d,77854,-10.49401,-9.91389,-25.41273,11.51251,44487.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
22,the-doge-nft,dog,The Doge NFT,https://assets.coingecko.com/coins/images/18111/large/Doge.png?1696517615,0.00263436,24958679.0,801.0,45259138.0,396202.0,0.002919,0.00258005,-0.000283256198227137,-9.70849,-2571754.394637633,-9.3415,9358137261.948725,16969696969.0,16969696969.0,0.04176505,-93.61663,2021-09-03T21:53:06.169Z,2e-07,1332909.80854,2023-08-11T12:46:26.366Z,,2024-01-23T03:02:06.723Z,https://ownthedoge.com/,ethereum,0xbaac2b4491727d78d2b78815144570b9f2fe8899,5775,-8.84681,-1.15747,28.94089,243.96828,1945.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
23,wall-street-memes,wsm,Wall Street Memes,https://assets.coingecko.com/coins/images/31975/large/Wall_Street_Memes_Logo_resize.png?1696530778,0.01303284,23295001.0,833.0,25724139.0,20895017.0,0.01380521,0.012518,-0.000547320948946668,-4.0303,-1177759.5000046082,-4.81253,1811139428.6019042,2000000000.0,2000000000.0,0.076991,-83.21971,2023-09-30T06:35:28.145Z,0.012518,3.20564,2024-01-23T00:45:09.776Z,,2024-01-23T03:01:52.555Z,https://wallstmemes.com/,ethereum,0xb62e45c3df611dce236a6ddc7a493d79f9dfadef,7760,-13.73135,-10.86652,-38.69769,-34.58113,32009.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
24,omnicat,omni,OmniCat,https://assets.coingecko.com/coins/images/33917/large/2023-12-21_21.39.10.jpg?1703321588,0.00053022,22110135.0,858.0,24113153.0,3015498.0,0.00077095,0.00052474,-0.000204571856633831,-27.84081,-7870830.547717582,-26.25276,41725187737.38622,45505187737.38622,45505187737.38622,0.0045811,-88.53892,2023-12-23T12:49:49.346Z,0.00025053,109.57634,2024-01-03T19:04:54.100Z,,2024-01-23T03:02:09.109Z,https://omnicat.xyz/,ethereum,0x9e20461bc2c4c980f62f1b279d71734207a6a356,1808,34.57955,-18.315,-71.81907,,2271.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
25,optimus-ai,opti,Optimus AI,https://assets.coingecko.com/coins/images/29328/large/photo_2023-11-14_22-41-11.png?1700091127,0.212873,21381626.0,871.0,21381626.0,199491.0,0.219325,0.19882,-0.004844738438015723,-2.22524,-361972.7825826183,-1.66473,100000000.0,100000000.0,100000000.0,0.594319,-63.94246,2023-04-14T18:10:55.322Z,0.070515,203.90306,2023-10-11T08:15:34.048Z,,2024-01-23T03:02:08.616Z,https://www.optimustoken.io/,ethereum,0x562e362876c8aee4744fc2c6aac8394c312d215d,9896,-21.19343,-24.52145,-33.1416,4.16517,8178.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
26,volt-inu-2,volt,Volt Inu,https://assets.coingecko.com/coins/images/25201/large/logo200.png?1696524344,3.40484e-07,21210638.0,876.0,23505628.0,277986.0,3.58614e-07,3.38214e-07,-1.7887708693e-08,-4.99138,-1095796.7884445712,-4.91247,62263131613878.4,69000000000000.0,69000000000000.0,3.43e-06,-90.05961,2022-04-26T13:04:38.735Z,2.10923e-07,61.45278,2023-09-26T21:01:09.381Z,,2024-01-23T03:02:09.646Z,https://voltinu.in/,ethereum,0x7f792db54b0e580cdc755178443f0430cf799aca,70948,-9.27924,-8.66791,-20.57334,17.46583,26622.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
27,dejitaru-tsuka,tsuka,Dejitaru Tsuka,https://assets.coingecko.com/coins/images/26405/large/Dejitaru_Tsuka_Logo.jpg?1696525481,0.02108502,21102506.0,880.0,21102506.0,427991.0,0.02279359,0.02076365,-0.001605180147454418,-7.07433,-1599134.6160703301,-7.04414,1000000000.0,1000000000.0,1000000000.0,0.15717,-86.69666,2023-02-15T22:35:25.938Z,0.01255154,66.58442,2022-07-29T01:15:11.255Z,,2024-01-23T03:01:50.118Z,https://www.dejitarutsuka.io/,ethereum,0xc5fb36dd2fb59d3b98deff88425a3f425ee469ed,9726,-19.46355,-32.08559,-25.92216,-2.48773,8916.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
28,chihuahua-token,huahua,Chihuahua Chain,https://assets.coingecko.com/coins/images/22485/large/logo_transparent_notext.png?1696521808,0.00020226,20165243.0,897.0,21065487.0,233809.0,0.00022328,0.00019118,-2.0961302188855e-05,-9.39023,-2084365.1369737089,-9.3681,99697997057.0,104148846663.0,,0.00983165,-97.93363,2022-01-20T10:10:57.442Z,1.67e-05,1116.86027,2023-10-08T12:38:44.532Z,,2024-01-23T02:59:22.560Z,https://www.chihuahua.wtf,osmosis,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,11832,-20.10765,-1.85973,-38.46675,304.97364,3414.0,osmosis,https://icons.llamao.fi/icons/chains/rsz_osmosis?w=48&h=48
29,turbo,turbo,Turbo,https://assets.coingecko.com/coins/images/30117/large/turbo.jpg?1696529039,0.00027174,18746479.0,920.0,18746479.0,2965761.0,0.00029833,0.00026446,-2.192136416446e-05,-7.46475,-1429209.7545301728,-7.08382,69000000000.0,69000000000.0,69000000000.0,0.00300413,-91.0441,2023-05-06T17:19:51.951Z,6.518e-05,312.7801,2023-09-26T21:46:54.834Z,,2024-01-23T03:01:52.396Z,https://www.turbotoken.ai/,ethereum,0xa35923162c49cf95e6bf26623385eb431ad920d3,8626,-18.64506,-21.01177,-49.3319,128.94087,2432.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
30,mog-coin,mog,Mog Coin,https://assets.coingecko.com/coins/images/31059/large/MOG_LOGO_200x200.png?1696529893,4.4693e-08,17435624.0,948.0,17435624.0,758644.0,4.6583e-08,3.8528e-08,-1.499906952e-09,-3.24708,-425228.790968664,-2.38079,390570159911439.0,390570159911439.0,420690000000000.0,1.0915e-07,-59.01763,2023-08-18T07:21:28.140Z,4.526e-09,888.28593,2023-07-24T17:10:57.805Z,,2024-01-23T03:01:58.329Z,https://www.mogcoin.xyz,ethereum,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,4591,12.72402,16.09664,35.76905,77.13766,1290.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
31,bob-token,bob,BOB Token,https://assets.coingecko.com/coins/images/29929/large/bob.png?1696528857,2.352e-05,16223322.0,968.0,16223322.0,1325188.0,2.55e-05,2.316e-05,-1.857885446331e-06,-7.31966,-1302897.5582023691,-7.43399,690000000000.0,690000000000.0,690000000000.0,0.00021819,-89.24297,2023-05-06T16:20:39.687Z,1.68e-06,1295.95336,2023-04-22T17:35:00.345Z,,2024-01-23T03:01:57.801Z,https://explainthisbob.com/,ethereum,0x7d8146cf21e8d7cbe46054e01588207b51198729,11837,-16.89817,-10.22941,-52.38042,325.32407,2850.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
32,welsh-corgi-coin,welsh,WELSH CORGI COIN,https://assets.coingecko.com/coins/images/34009/large/welsh.png?1703668279,0.00159404,15701116.0,989.0,15701116.0,426272.0,0.00182646,0.00149276,-0.000181272314533234,-10.21074,15701116.0,0.0,10000000000.0,10000000000.0,10000000000.0,0.00504227,-69.07354,2023-12-28T19:37:01.061Z,0.00139934,11.43811,2023-12-30T16:55:55.192Z,,2024-01-23T03:00:53.928Z,https://www.welshtoken.com/,stacks,SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.token-wcorgi,2189,8.28665,-48.45005,,,703.0,stacks,https://icons.llamao.fi/icons/chains/rsz_stacks?w=48&h=48
33,popcat,popcat,Popcat,https://assets.coingecko.com/coins/images/33760/large/image.jpg?1702964227,0.01569212,15115398.0,1006.0,15115398.0,2535574.0,0.01853411,0.01329136,-0.001352665722013136,-7.93595,-1919725.3388834838,-11.26922,979978669.96,979978669.96,979978694.0,0.04823125,-68.23356,2023-12-22T06:04:43.531Z,0.00379728,303.48261,2024-01-05T15:34:24.842Z,,2024-01-23T02:59:42.859Z,https://popcat.meme/,solana,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,2916,-30.89098,115.81503,-32.98605,,2228.0,solana,https://icons.llamao.fi/icons/chains/rsz_solana?w=48&h=48
34,wojak,wojak,Wojak,https://assets.coingecko.com/coins/images/29856/large/wojak.png?1696528782,0.0002065,14338947.0,1036.0,14338947.0,1443144.0,0.00023746,0.0002062,-2.7436559091148e-05,-11.72837,-1827669.5519932434,-11.30521,69420000000.0,69420000000.0,69420000000.0,0.00107427,-80.76336,2023-05-05T05:00:10.878Z,4.902e-05,321.57401,2023-04-21T19:34:58.610Z,,2024-01-23T03:02:10.396Z,https://linktr.ee/wojaketh,ethereum,0x5026f006b85729a8b14553fae6af249ad16c9aab,12816,-21.67757,-6.62472,-48.9044,39.4848,7947.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
35,snailbrook,snail,SnailBrook,https://assets.coingecko.com/coins/images/29922/large/snail_200x200.png?1696528851,0.00017433,14018828.0,1044.0,17442207.0,15611.99,0.00019173,0.00017165,-1.7369460107077e-05,-9.06071,-1389804.1877074465,-9.01965,80373015782.0,100000000000.0,100000000000.0,0.00042588,-59.04976,2023-05-22T15:11:28.205Z,0.00010412,67.49376,2023-10-11T15:36:36.930Z,,2024-01-23T03:01:55.126Z,https://snailbrook.ai/,ethereum,0x6bc40d4099f9057b23af309c08d935b890d7adc0,2229,-5.08094,-4.96909,-14.55144,-29.08563,3060.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
36,mochi-thecatcoin,mochi,Mochi,https://assets.coingecko.com/coins/images/33083/large/mochi200.png?1703024216,1.37e-05,13724577.0,1050.0,13724577.0,181398.0,1.4e-05,1.201e-05,-2.21899426524e-07,-1.59347,-230242.81822638027,-1.64992,1000000000000.0,1000000000000.0,1000000000000.0,2.254e-05,-39.10685,2023-12-15T22:02:51.527Z,4.76213e-07,2782.02211,2023-11-22T01:28:39.342Z,,2024-01-23T03:01:42.830Z,https://mochithecatcoin.com/,base,0xf6e932ca12afa26665dc4dde7e27be02a7c02e50,1493,47.87789,74.13106,1.55031,1635.22004,2509.0,base,https://icons.llamao.fi/icons/chains/rsz_base?w=48&h=48
37,analos,analos,analoS,https://assets.coingecko.com/coins/images/33855/large/image_4_%286%29.png?1703125199,0.00013379,13114711.0,1070.0,13375085.0,12039380.0,0.00015349,0.00012388,6.59e-06,5.17856,655930.0,5.2648,98033126495.9099,99979441204.6607,99980604131.0,0.00214514,-93.76423,2023-12-25T10:19:41.322Z,5.952e-05,124.72619,2023-12-21T09:56:51.341Z,,2024-01-23T03:01:51.522Z,https://www.analos.meme/,solana,7iT1GRYYhEop2nV1dyCwK2MGyLmPHq47WhPGSwiqcUg5,11962,-21.67278,-17.98972,-85.04958,,22461.0,solana,https://icons.llamao.fi/icons/chains/rsz_solana?w=48&h=48
38,shiba-predator,qom,Shiba Predator,https://assets.coingecko.com/coins/images/24430/large/l1KzMcL.png?1696523611,2.1429e-08,12857531.0,1075.0,12857531.0,4904.48,2.2639e-08,2.1225e-08,-1.201459762e-09,-5.30899,-724382.2744863294,-5.33343,599999999999999.0,599999999999999.0,999999999999999.0,3.80671e-07,-94.37134,2022-04-03T14:54:51.356Z,1.5521e-08,38.04976,2022-12-17T00:25:42.692Z,,2024-01-23T03:01:52.959Z,http://qompredator.finance,ethereum,0xa71d0588eaf47f12b13cf8ec750430d21df04974,5337,-18.50073,-14.05863,-18.6476,-7.32986,6153.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
39,vita-inu,vinu,Vita Inu,https://assets.coingecko.com/coins/images/20594/large/vita-inu-head-wallet-icon-transparent.png?1696520000,1.37e-08,12291288.0,1099.0,12291288.0,310325.0,1.4288e-08,1.3427e-08,-2.60014351e-10,-1.86259,-279730.9224312827,-2.2252,899794230699616.0,899794230699616.0,899794230699616.0,6.8772e-08,-80.0972,2022-03-30T04:28:45.251Z,3.024e-09,352.61354,2021-11-19T03:41:57.093Z,,2024-01-23T03:02:05.495Z,https://vitainu.org,binance-smart-chain,0xfebe8c1ed424dbf688551d4e2267e7a53698f0aa,9930,-11.23412,-10.02728,-42.30448,54.0477,14859.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
40,catecoin,cate,CateCoin,https://assets.coingecko.com/coins/images/15364/large/logo.png?1696515013,3.53493e-07,12150509.0,1113.0,35343205.0,323057.0,3.81386e-07,3.52461e-07,-2.7378365419e-08,-7.18834,-943374.0508900173,-7.20469,34378628154281.39,100000000000000.0,100000000000000.0,1.176e-05,-96.99763,2021-11-10T00:29:31.177Z,3.0238e-11,1167263.01046,2021-09-18T12:03:09.544Z,,2024-01-23T03:01:58.617Z,https://catecoin.com/,binance-smart-chain,0xe4fae3faa8300810c835970b9187c268f55d998f,46493,-5.54389,-4.52776,0.02627,6.6908,13831.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
41,bad-idea-ai,bad,Bad Idea AI,https://assets.coingecko.com/coins/images/30871/large/Bad_idea.jpeg?1696529718,2.1871e-08,11745407.0,1138.0,18171081.0,761322.0,2.2402e-08,2.0847e-08,-5.17391874e-10,-2.31097,-215589.13229457475,-1.80243,537117176428691.0,830963055400463.0,831041059897327.0,1.93994e-07,-88.75264,2023-08-13T03:25:17.029Z,1.9409e-08,12.41723,2023-07-21T06:15:30.480Z,,2024-01-23T03:02:08.186Z,https://www.badidea.ai/,ethereum,0x32b86b99441480a7e5bd3a26c124ec2373e3f015,14218,-18.06755,-29.89043,-30.24832,-29.8213,8670.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
42,shiba-saga,shia,Shiba Saga,https://assets.coingecko.com/coins/images/31437/large/51nmYxm3_400x400.jpg?1696530252,0.04004922,11184387.0,1160.0,79865598.0,622807.0,0.04244823,0.03929049,-0.002399013075593787,-5.65162,-615161.6872653626,-5.21343,280080208.82463354,2000000000.0,2000000000.0,0.785605,-94.93473,2023-08-26T19:54:46.281Z,0.03764182,5.71496,2024-01-19T19:00:51.093Z,,2024-01-23T03:01:58.522Z,https://www.shibasaga.com/,ethereum,0x43d7e65b8ff49698d9550a7f315c87e67344fb59,6872,-29.01381,-31.88616,-44.43519,-47.74177,12374.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
43,kizuna,kizuna,Kizuna,https://assets.coingecko.com/coins/images/32113/large/IMG_9968.png?1696585475,1.1129e-08,10790110.0,1182.0,10790110.0,151648.0,1.2159e-08,9.794e-09,6.84682e-10,6.55524,665207.0,6.57,969507656538516.0,969507656538516.0,1000000000000000.0,3.1948e-08,-64.54712,2023-12-09T15:54:43.108Z,3.14674e-10,3499.48682,2023-10-22T20:49:32.947Z,,2024-01-23T03:01:35.545Z,https://kizunatoken.io/,ethereum,0x470c8950c0c3aa4b09654bc73b004615119a44b5,3433,35.03494,-3.38375,-37.36432,-32.083,3921.0,ethereum,https://icons.llamao.fi/icons/chains/rsz_ethereum?w=48&h=48
